22105632,23677114
20664651,23677119
1309827,23677112
5440625,23677115
17379353,23677112
15202169,23677194
2255530,23677113
1698200,23677113
13731773,23677142
4488837,23677142
8562323,23677119
6537473,23677119
18917955,23677118
3284298,23677184
6096495,19359481
1814395,23677117
12901422,23677118
15365448,23677117
11862093,23677161
5983176,23677116
21522030,23677116
10372933,23677112
22724423,23677117
7102756,23677119
16636768,23677135
13320273,23677112
1473634,23677116
21970422,23677117
14925428,23677158
1634543,23677113
9307452,23677118
750029,23677116
15848452,23677115
13245087,23677114
18061471,23677115
14349215,23677119
4482474,23677114
5459132,23677114
10877071,23677119
18675143,23677116
6350517,23677130
8011262,23677111
9998145,23677112
6383180,23677115
10644182,23677114
448445,23677119
10170632,23677119
21218665,23677114
16280571,23677116
18375076,23677114
7927117,23677118
16203278,23677114
7556784,23677119
2291221,23677118
5391752,23677119
12766377,23677113
15176189,23677114
16709182,23677118
14193811,23677114
7231501,23677118
11348892,23677114
12294493,23677119
16064495,23677116
2571842,23677114
7909549,23677118
1646830,23677117
2057358,23677116
5767807,23677114
5276466,23677118
13369375,23677161
19332850,23677113
8629705,23677147
16321865,23677116
4487021,23677113
16327065,23677117
3906989,23677116
11728443,23677115
4150233,23677177
13376327,23677159
2808169,23677158
18184482,23677113
19107248,23677115
23162609,23677126
511211,23677111
2820689,23677118
3692580,23677117
2660986,23677117
15426825,23677114
5127731,23677118
7575898,23677116
11750117,23677113
14280660,23677116
7098432,23677131
9696716,23677140
4061129,23677114
12086717,23677117
18463334,23677136
6181099,23677116
6453560,23677161
4130443,23677111
8119436,23677114
12508667,23677118
16518426,23677117
14274177,23677113
16608483,23677113
22828267,23677115
22370,23677134
3099926,23677117
2492034,23677116
17097425,23677117
16455940,23677117
172685,23677115
4449696,23677115
19544648,23677114
11078997,23677114
17927695,23677114
123110,23677119
8165976,23677119
3500414,23677158
19431957,23677117
15566944,23677113
22456153,23677117
19957803,23677112
5256650,23677111
17072779,23677111
9033656,23677111
1526704,23677117
3800882,23677114
15950475,23677115
1818093,23677112
4646641,23677113
10735044,23677113
12687755,23677116
10880369,23677119
773930,23677135
17757171,23677115
20076583,23677118
23394783,23677118
19628278,23677112
6187415,23677113
1643748,23677118
21701717,23677117
13312745,23677117
5825392,23677117
5966714,23677118
288262,23677119
4256524,23677118
15844173,23677117
19217525,23677159
8285199,23677119
3477980,23677119
14218873,23677111
7257373,23677116
11971008,23677118
16986641,23677115
23659769,23677114
13181326,23677117
12447,23677115
5519121,23677114
22101297,23677116
6721286,23677160
13510010,23677115
19493013,23677119
17248206,23677116
13315203,23677118
7806759,23677116
1774646,23677119
7696315,23677114
12584462,23677144
16449767,23677117
19308866,23677119
4052612,23677117
3522851,23677112
6744733,23677115
15592658,23677114
17293743,23677111
12869312,23677111
14308052,23677117
14958536,23677119
4176918,23677159
9176030,23677113
10353649,23677115
699559,6096495
5501127,23677119
9304951,23677115
23195616,23677114
453619,23677189
12687682,23677117
4587254,23677114
13491959,23677115
21733258,23677112
4164829,23677119
20800219,23677114
18927678,23677119
14191529,23677116
22806093,23677115
6190607,23677116
7151009,23677115
17181761,23677114
20576493,23677119
20651618,23677112
4043083,23677111
14988845,23677194
23587229,23677118
